folder_path,shuffles_missing,model_size
experiments/20260312_rec_novar/model_name_Qwen3-14B/alphanumeric_low_neg_scale,7,14B
experiments/20260312_rec_novar/model_name_Qwen3-14B/world_mislead_high_neg_scale,1,14B
experiments/20260312_rec_novar/model_name_Qwen3-14B/world_mislead_low_neg_scale,1,14B
experiments/20260312_rec_novar/model_name_Qwen3-14B/world_helpful_high_scale,1,14B
experiments/20260312_rec_novar/model_name_Llama3-8B/ordinal_helpful_high_scale,4,8B
experiments/20260312_rec_novar/model_name_Llama3-8B/world_mislead_low_neg_scale,5,8B
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_low_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_mislead_low_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_high_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_mislead_high_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_high_scale,5,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_low_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_high_neg_scale,8,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_low_neg_scale,10,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_mislead_low_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_low_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_high_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_mislead_high_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_high_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_low_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_low_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_mislead_low_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_low_neg_scale,10,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_mislead_high_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_mislead_high_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_helpful_low_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_mislead_low_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_helpful_low_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_low_scale,7,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_helpful_high_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_helpful_high_neg_scale,6,gemini
experiments/20260312_rec_novar/model_name_gemini-3.1-flash-lite-preview/world_helpful_high_scale,10,gemini
experiments/20260312_rec_novar/model_name_Qwen3-32B/world_mislead_low_scale,3,32B
experiments/20260312_rec_novar/model_name_Qwen3-32B/world_helpful_high_scale,2,32B
