toplevel_path,superfolder_path,domain,model,history,variance,nomenclature,scale,shuffle_number,jsonl_file
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,0,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_0/run_20260313_201915.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,1,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_1/run_20260313_202047.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,2,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_2/run_20260313_202209.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,3,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_3/run_20260313_202332.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,4,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_4/run_20260313_202452.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,5,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_5/run_20260313_202621.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,6,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_6/run_20260313_202747.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,7,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_7/run_20260313_202910.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,8,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_8/run_20260313_203027.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_neg_scale,9,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_neg_scale/shuffles/shuffle_9/run_20260313_203150.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_scale,0,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_scale/shuffles/shuffle_0/run_20260313_203417.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_scale,1,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_scale/shuffles/shuffle_1/run_20260313_203542.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_scale,2,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_scale/shuffles/shuffle_2/run_20260313_203710.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_scale,3,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_scale/shuffles/shuffle_3/run_20260313_203843.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_scale,4,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_scale/shuffles/shuffle_4/run_20260313_204008.jsonl
experiments/20260118_farm_novar,experiments/20260118_farm_novar/model_name_Llama3-8B,Farm,Llama3-8B,Summarized,No,sent_new_helpful,high_scale,5,experiments/20260118_farm_novar/model_name_Llama3-8B/sent_new_helpful_high_scale/shuffles/shuffle_5/run_20260313_204132.jsonl
